year,name,auto,deep,match
2020,LendfMe,重入,?,True
2020,Balancer_20200628,AMM 操纵,?,True
2020,Bancor,授权漏洞,?,True
2020,Opyn,借贷清算,?,True
2020,bzx,闪贷+价格操纵,?,True
2020,HarvestFinance,闪贷+价格操纵,?,True
2020,Pickle,AMM 操纵,?,True
2020,Cover,AMM 操纵,?,True
2021,Sushi_Badger_Digg,治理攻击,?,True
2021,Yearn_ydai,闪贷+价格操纵,?,True
2021,dodo_flashloan,闪贷+价格操纵,?,True
2021,PAID,重入,?,True
2021,Uranium,代币漏洞,?,True
2021,bEarn,闪贷+价格操纵,?,True
2021,BurgerSwap,闪贷+重入,?,True
2021,JulSwap,授权漏洞,?,True
2021,PancakeBunny,闪贷+价格操纵,?,True
2021,RariCapital,签名绕过,?,True
2021,Spartan,闪贷+价格操纵,?,True
2021,ValueDefi,代币漏洞,?,True
2021,88mph,重入,?,True
2021,Eleven,闪贷+价格操纵,?,True
2022,Anyswap,授权漏洞,?,True
2022,Qubit,重入,?,True
2022,BuildF,治理攻击,?,True
2022,Meter,签名绕过,?,True
2022,Sandbox,代币漏洞,?,True
2022,TecraSpace,授权漏洞,?,True
2022,Agave,借贷清算,?,True
2022,Auctus,授权漏洞,?,True
2022,Bacon,重入,?,True
2022,CompoundTusd,代币漏洞,?,True
2022,Fantasm,授权漏洞,?,True
2022,HundredFinance,重入,?,True
2022,LiFi,闪贷+价格操纵,?,True
2022,OneRing,授权漏洞,?,True
2023,BEVO,闪贷+价格操纵,?,True
2023,BRA,闪贷+价格操纵,?,True
2023,GDS,闪贷+价格操纵,?,True
2023,Midas,AMM 操纵,?,True
2023,OmniEstate,重入,?,True
2023,QTN,签名绕过,?,True
2023,RoeFinance,闪贷+价格操纵,?,True
2023,SHOCO,AMM 操纵,?,True
2023,ThoreumFinance,授权漏洞,?,True
2023,TINU,闪贷+价格操纵,?,True
2023,UFDao,重入,?,True
2023,Upswing,授权漏洞,?,True
2023,BonqDAO,闪贷+价格操纵,?,True
2023,CowSwap,闪贷+价格操纵,?,True
2024,BarleyFinance,授权漏洞,?,True
2024,Bmizapper,签名绕过,?,True
2024,CitadelFinance,代币漏洞,?,True
2024,DAO_SoulMate,重入,?,True
2024,Freedom,闪贷+价格操纵,?,True
2024,Gamma,AMM 操纵,?,True
2024,LQDX_alert,授权漏洞,?,True
2024,MIC,闪贷+价格操纵,?,True
2024,MIMSpell2,AMM 操纵,?,True
2024,NBLGAME,闪贷+价格操纵,?,True
2024,OrbitChain,跨链/桥,?,True
2024,PeapodsFinance,重入,?,True
2024,RadiantCapital,闪贷+价格操纵,?,True
2024,Shell_MEV_0xa898,重入,?,True
2025,98Token,重入,?,True
2025,AIXBTForcedSwap,闪贷+价格操纵,?,True
2025,Ast,重入,?,True
2025,HORS,AMM 操纵,?,True
2025,IdolsNFT,重入,?,True
2025,IPC,闪贷+价格操纵,?,True
2025,JPulsepot,重入,?,True
2025,LAURAToken,AMM 操纵,?,True
2025,LPMine,闪贷+价格操纵,?,True
2025,MCAI,授权漏洞,?,True
2025,Mosca2,闪贷+价格操纵,?,True
2025,Mosca,重入,?,True
2025,ODOS,签名绕过,?,True
2025,Paribus,闪贷+价格操纵,?,True
2026,futureswap,闪贷+价格操纵,?,True
2026,makina,闪贷+价格操纵,?,True
2026,MTToken,AMM 操纵,?,True
2026,PRXVT,重入,?,True
2026,SynapLogic,代理/升级,?,True
2026,Truebit,闪贷+价格操纵,?,True
2026,LAXO_Token,重入,?,True
2026,Moonwell,闪贷+价格操纵,?,True
2026,XDKRecycle,借贷清算,?,True
2026,AlkemiEarn,闪贷+价格操纵,?,True
2026,ATMBlindBox,治理攻击,?,True
2026,bce,闪贷+价格操纵,?,True
2026,Curve_LlamaLend,AMM 操纵,?,True
2026,EST,授权漏洞,?,True
