year,name,category,confidence,loss
test,IUNMI_db27,闪贷+价格操纵,CLASSIFIED,4.7K USD
2017,Parity_first_hack,权限漏洞,GROUND_TRUTH,"153,037 ETH (~"
2017,Parity_kill,权限漏洞,GROUND_TRUTH,
2018,BEC,整数溢出/精度,GROUND_TRUTH,
2018,SmartMesh,整数溢出/精度,GROUND_TRUTH,140M
2018,SpankChain,闪贷+价格操纵,CLASSIFIED,155
2020,LendfMe,重入,GROUND_TRUTH,
2020,Balancer_20200628,AMM 操纵,CLASSIFIED,
2020,Bancor,授权漏洞,CLASSIFIED,
2020,Opyn,借贷清算,CLASSIFIED,
2020,bzx,闪贷+价格操纵,GROUND_TRUTH,// Attacker : https://etherscan.io/address/0xd1c0f1316140D6bF1a9e2Eea8a227dAD151
2020,HarvestFinance,闪贷+价格操纵,GROUND_TRUTH,
2020,Pickle,AMM 操纵,CLASSIFIED,around 20 million DAI.
2020,Cover,AMM 操纵,CLASSIFIED,
2021,Sushi_Badger_Digg,治理攻击,CLASSIFIED,
2021,Yearn_ydai,闪贷+价格操纵,GROUND_TRUTH,~11M US
2021,dodo_flashloan,闪贷+价格操纵,CLASSIFIED,
2021,PAID,重入,CLASSIFIED,
2021,Uranium,代币漏洞,CLASSIFIED,
2021,bEarn,闪贷+价格操纵,CLASSIFIED,11M
2021,BurgerSwap,闪贷+重入,GROUND_TRUTH,
2021,JulSwap,授权漏洞,CLASSIFIED,1.5M
2021,PancakeBunny,闪贷+价格操纵,GROUND_TRUTH,
2021,RariCapital,签名绕过,CLASSIFIED,
2021,Spartan,闪贷+价格操纵,CLASSIFIED,
2021,ValueDefi,代币漏洞,CLASSIFIED,
2021,88mph,重入,CLASSIFIED,
2021,Eleven,闪贷+价格操纵,CLASSIFIED,
2021,PancakeHunny,授权漏洞,CLASSIFIED,
2021,SafeDollar,整数溢出/精度,CLASSIFIED,
2021,xWin,闪贷+价格操纵,CLASSIFIED,
2021,Levyathan,治理攻击,CLASSIFIED,
2021,Cream,闪贷+重入,GROUND_TRUTH,
2021,PolyNetwork,权限漏洞,GROUND_TRUTH,
2021,Popsicle,闪贷+价格操纵,CLASSIFIED,20M USD
2021,WaultFinance,闪贷+价格操纵,CLASSIFIED,
2021,XSURGE,重入,CLASSIFIED,
2021,DaoMaker,重入,CLASSIFIED,
2021,Nimbus,代币漏洞,CLASSIFIED,
2021,NowSwap,重入,CLASSIFIED,
2021,Sushimiso,重入,CLASSIFIED,
2021,ZABU,授权漏洞,CLASSIFIED,
2021,Cream_2,治理攻击,CLASSIFIED,
2021,IndexedFinance,整数溢出/精度,CLASSIFIED,
2021,Mono,AMM 操纵,CLASSIFIED,
2021,Ploutoz,借贷清算,CLASSIFIED,365K
2021,Grim,重入,CLASSIFIED,
2021,NerveBridge,AMM 操纵,CLASSIFIED,
2021,Visor,代币漏洞,CLASSIFIED,
2022,Anyswap,授权漏洞,CLASSIFIED,
2022,Qubit,重入,CLASSIFIED,
2022,BuildF,治理攻击,CLASSIFIED,
2022,Meter,签名绕过,CLASSIFIED,
2022,Sandbox,代币漏洞,CLASSIFIED,
2022,TecraSpace,授权漏洞,CLASSIFIED,"639,222"
2022,Agave,借贷清算,CLASSIFIED,~1.5M US
2022,Auctus,授权漏洞,CLASSIFIED,
2022,Bacon,重入,CLASSIFIED,
2022,CompoundTusd,代币漏洞,CLASSIFIED,
2022,Fantasm,授权漏洞,CLASSIFIED,
2022,HundredFinance,重入,CLASSIFIED,
2022,LiFi,闪贷+价格操纵,CLASSIFIED,
2022,OneRing,授权漏洞,CLASSIFIED,
2022,Paraluni,授权漏洞,CLASSIFIED,
2022,RedactedCartel,授权漏洞,CLASSIFIED,
2022,Revest,重入,CLASSIFIED,
2022,Ronin,跨链/桥,CLASSIFIED,
2022,TreasureDAO,重入,CLASSIFIED,
2022,Umbrella,重入,CLASSIFIED,700k
2022,AkutarNFT,重入,CLASSIFIED,
2022,Beanstalk,AMM 操纵,CLASSIFIED,
2022,cftoken,代币漏洞,CLASSIFIED,
2022,deus,借贷清算,CLASSIFIED,
2022,Elephant_Money,授权漏洞,CLASSIFIED,
2022,Gym_1,授权漏洞,CLASSIFIED,
2022,Rari,AMM 操纵,CLASSIFIED,
2022,Rikkei,闪贷+价格操纵,CLASSIFIED,
2022,Saddle,AMM 操纵,CLASSIFIED,
2022,Wdoge,代币漏洞,CLASSIFIED,
2022,Zeed,授权漏洞,CLASSIFIED,
2022,Bayc_apecoin,重入,CLASSIFIED,
2022,FortressLoans,闪贷+价格操纵,CLASSIFIED,"1,048 ETH + 400,000 DAI (~3,000,000 US"
